1/3/2017,WWW.MYMUSI 4.00_V,5.29,,3042.2
1/3/2017,HAPPYMEAT,,2632,5674.2
1/4/2017,DD_V,13.24,,5660.96
1/5/2017,DD_V,15.42,,5645.54
1/5/2017,SEND E-TFR ***L2C,850,,4795.54
1/7/2017,Amazon.ca 80.99_V,80.99,,4741.55
1/10/2017,Steam Purc 58.30_V,58.3,,4656.25
1/10/2017,INTEREST CREDIT,,0.4,4656.65
1/17/2017,T T SUPERMARKET_M,23.23,,4633.42
1/21/2017,JEJUDO_M,35.8,,4597.62
1/21/2017,Riot* LN3P 11.20_V,37.43,,4560.49
1/22/2017,DOORDASH*MCDONA_V,15.23,,4545.26
1/22/2017,WPS-0139F10492,,10000,14545.26
1/22/2017,WITHDRAWAL FEES,10.2,,14534.06
1/23/2017,Amazon.ca 30.42_V,30.42,,14504.64
1/26/2017,SQ *LINA HAIR_M,28.75,,14475.89
1/26/2017,PAYPAL MSP,60.23,,14415.66
1/27/2017,TD VISA L1J3L5,900,,13515.66
1/29/2017,UBER_V,50.2,,13465.46
1/29/2017,LANDMARK WEB TI_V,16.2,,13449.26
2/1/2017,HOMEDEPOT_M,152.8,,13296.46
2/2/2017,HAPPYMEAT,,2632,15928.46
2/5/2017,SEND E-TFR ***L2C,850,,15078.46
2/9/2017,Spotify_V,6.1,,15072.36
2/10/2017,INTEREST CREDIT,,0.6,15072.96
2/11/2017,STEAMGAMES 10.00_V,10,,15062.96
2/13/2017,DOORDASH*MCDONA_V,15.3,,15047.66
2/15/2017,DOORDASH*MCDONA_V,13.5,,15034.16
2/20/2017,DOORDASH*MCDONA_V,14.6,,15019.56
2/21/2017,MARUTAMA RA-MEN,16.5,,15003.06
2/22/2017,INTEREST CREDIT,,0.7,15003.76
2/25/2017,DHL EXPRESS ADC_V,54.36,,14949.4
2/26/2017,Riot* AN1A 53.75_V,29.9,,14919.5
2/26/2017,DR LIU LI INC.,350,,14569.5
2/28/2017,PAYPAL MSP,56.3,,14513.2
3/1/2017,LANDMARK WEB TI_V,19.2,,14494
3/2/2017,CANADA COMPUTER,727.99,,13766.01
3/2/2017,HAPPYMEAT,,2632,16398.01
3/3/2017,Spotify_V,6.1,,16391.91
3/5/2017,SEND E-TFR ***L2C,850,,15541.91
